date	tt	title	year	directors	stars	plot
2016-01-12	tt1506999	Haywire	2011	Steven Soderbergh	Gina Carano,Michael Angarano,Channing Tatum	A black ops super soldier seeks payback after she is betrayed and set up during a mission.
2016-01-16	tt1170358	The Hobbit: The Desolation of Smaug	2013	Peter Jackson	Ian McKellen,Martin Freeman,Richard Armitage	The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim the Lonely Mountain, their homeland, from the dragon Smaug.
2016-01-17	tt0409847	Cowboys & Aliens	2011	Jon Favreau	Daniel Craig,Abigail Spencer,Buck Taylor	A spaceship arrives in 1873 Arizona to take over the Earth, starting with the Wild West region. All that stands in their way: a posse of cowboys and natives.
2016-01-24	tt1401152	Unknown	2011	Jaume Collet-Serra	Liam Neeson,Diane Kruger,January Jones	When a man awakens from a coma only to discover that someone has taken on his identity, he teams up with a young woman to prove who he is.
2016-01-30	tt1228705	Iron Man 2	2010	Jon Favreau	Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle	With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.
2016-01-31	tt0477080	Unstoppable	2010	Tony Scott	Denzel Washington,Chris Pine,Rosario Dawson	With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.
2016-02-20	tt0926084	Harry Potter and the Deathly Hallows: Part 1	2010	David Yates	Bill Nighy,Emma Watson,Richard Griffiths	Harry Potter is tasked with the dangerous and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes. Harry must rely on Ron and Hermione more than ever, but dark forces threaten to tear them apart.
2016-02-21	tt1201607	Harry Potter and the Deathly Hallows: Part 2	2011	David Yates	Ralph Fiennes,Michael Gambon,Alan Rickman	Harry, Ron and Hermione set out on a quest to eliminate the remaining horcruxes. On the other hand, the students and teachers must unite to defend Hogwarts against Lord Voldemort and his minions.
2016-02-27	tt2294629	Frozen	2013	Chris Buck,Jennifer Lee	Kristen Bell,Idina Menzel,Jonathan Groff	Fearless optimist Anna teams up with rugged mountain man Kristoff and his loyal reindeer Sven in an epic journey to find Anna's sister Elsa, whose icy powers have trapped the kingdom of Arendelle in eternal winter.
2016-03-09	tt2025690	The Finest Hours	2016	Craig Gillespie	Chris Pine,Casey Affleck,Ben Foster	The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.
2016-03-12	tt1596343	Fast Five	2011	Justin Lin	Vin Diesel,Paul Walker,Jordana Brewster	Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.
2016-03-16	tt2888046	Ip Man 3	2015	Wilson Yip	Donnie Yen,Lynn Xiong,Jin Zhang	When a band of brutal gangsters led by a crooked property developer make a play to take over a local school, Master Ip is forced to take a stand.
2016-03-19	tt2267968	Kung Fu Panda 3	2016	Alessandro Carloni,Jennifer Yuh Nelson	Jack Black,Bryan Cranston,Dustin Hoffman	Continuing his "legendary adventures of awesomeness", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.
2016-03-19	tt1663202	The Revenant	2015	Alejandro G. Iñárritu	Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson	A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
2016-03-26	tt1302011	Kung Fu Panda 2	2011	Jennifer Yuh Nelson	Jack Black,Angelina Jolie,Dustin Hoffman	Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.
2016-03-27	tt2302755	Olympus Has Fallen	2013	Antoine Fuqua	Gerard Butler,Aaron Eckhart,Finley Jacobsen	Secret Service agent Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack and works with national security to rescue the President from his kidnappers.
2016-04-03	tt1033575	The Descendants	2011	Alexander Payne	George Clooney,Shailene Woodley,Amara Miller	A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.
2016-04-03	tt4076934	My Beloved Bodyguard	2016	Sammo Kam-Bo Hung	Sammo Kam-Bo Hung,Jacqueline Chan,Qinqin Li	A retired bodyguard suffering from dementia finds a new friend in a young girl. When her life is threatened by her father's connection with crime, he must call upon his abandoned skills to save her.
2016-04-04	tt2975590	Batman v Superman: Dawn of Justice	2016	Zack Snyder	Ben Affleck,Henry Cavill,Amy Adams	Batman is manipulated by Lex Luthor to fear Superman. Superman´s existence is meanwhile dividing the world and he is framed for murder during an international crisis. The heroes clash and force the neutral Wonder Woman to reemerge.
2016-04-26	tt3040964	The Jungle Book	2016	Jon Favreau	Neel Sethi,Bill Murray,Ben Kingsley	After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.
2016-05-01	tt1535108	Elysium	2013	Neill Blomkamp	Matt Damon,Jodie Foster,Sharlto Copley	In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.
2016-05-29	tt3498820	Captain America: Civil War	2016	Anthony Russo,Joe Russo	Chris Evans,Robert Downey Jr.,Scarlett Johansson	Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
2016-06-04	tt1985949	The Angry Birds Movie	2016	Clay Kaytis,Fergal Reilly	Jason Sudeikis,Josh Gad,Danny McBride	When an island populated by happy, flightless birds is visited by mysterious green pigs, it's up to three unlikely outcasts to figure out what the pigs are up to.
2016-06-09	tt0770828	Man of Steel	2013	Zack Snyder	Henry Cavill,Amy Adams,Michael Shannon	An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.
2016-06-11	tt1411697	The Hangover Part II	2011	Todd Phillips	Bradley Cooper,Ed Helms,Zach Galifianakis	Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding, but Stu's plan for subdued pre-wedding brunch goes seriously awry.
2016-06-12	tt1436562	Rio	2011	Carlos Saldanha	Karen Disher,Jason Fricchione,Sofia Scarpa Saldanha	When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.
2016-06-14	tt0429493	The A-Team	2010	Joe Carnahan	Liam Neeson,Bradley Cooper,Jessica Biel	A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.
2016-06-16	tt0458339	Captain America: The First Avenger	2011	Joe Johnston	Chris Evans,Hayley Atwell,Sebastian Stan	Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a "Super-Soldier serum". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.
2016-06-17	tt0875034	Nine	2009	Rob Marshall	Daniel Day-Lewis,Sandro Dori,Nicole Kidman	Famous film director Guido Contini struggles to find harmony in his professional and personal lives, as he engages in dramatic relationships with his wife, his mistress, his muse, his agent, and his mother.
2016-08-02	tt0319262	The Day After Tomorrow	2004	Roland Emmerich	Dennis Quaid,Jake Gyllenhaal,Emmy Rossum	Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.
2016-08-02	tt0114709	Toy Story	1995	John Lasseter	Tom Hanks,Tim Allen,Don Rickles	A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.
2016-08-27	tt1446714	Prometheus	2012	Ridley Scott	Noomi Rapace,Michael Fassbender,Charlize Theron	Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.
2016-09-10	tt4196776	Jason Bourne	2016	Paul Greengrass	Matt Damon,Tommy Lee Jones,Alicia Vikander	The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.
2016-09-11	tt0800320	Clash of the Titans	2010	Louis Leterrier	Sam Worthington,Liam Neeson,Ralph Fiennes	Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.
2016-09-11	tt1646987	Wrath of the Titans	2012	Jonathan Liebesman	Sam Worthington,Liam Neeson,Ralph Fiennes	Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world.
2016-09-24	tt2404463	The Heat	2013	Paul Feig	Sandra Bullock,Melissa McCarthy,Demián Bichir	An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.
2016-09-24	tt0363771	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	2005	Andrew Adamson	Georgie Henley,Skandar Keynes,William Moseley	While playing, Lucy and her siblings find a wardrobe that lands them in a mystical place called Narnia. Here they realize that it was fated and they must now unite with Aslan to defeat an evil queen.
2016-09-25	tt1424381	Predators	2010	Nimród Antal	Adrien Brody,Topher Grace,Alice Braga	A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.
2016-10-01	tt1440129	Battleship	2012	Peter Berg	Taylor Kitsch,Alexander Skarsgård,Rihanna	A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.
2016-10-02	tt1325004	The Twilight Saga: Eclipse	2010	David Slade	Xavier Samuel,Kristen Stewart,Robert Pattinson	As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.
2016-10-15	tt1397514	Journey 2: The Mysterious Island	2012	Brad Peyton	Dwayne Johnson,Michael Caine,Josh Hutcherson	Sean Anderson partners with his mom's husband on a mission to find his grandfather, who is thought to be missing on a mythical island.
2016-10-19	tt0970416	The Day the Earth Stood Still	2008	Scott Derrickson	Keanu Reeves,Jennifer Connelly,Kathy Bates	A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.
2016-10-21	tt1611224	Abraham Lincoln: Vampire Hunter	2012	Timur Bekmambetov	Benjamin Walker,Dominic Cooper,Anthony Mackie	Abraham Lincoln, the 16th President of the United States, discovers vampires are planning to take over the United States. He makes it his mission to eliminate them.
2016-10-22	tt1077368	Dark Shadows	2012	Tim Burton	Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter	An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection.
2016-10-23	tt3393786	Jack Reacher: Never Go Back	2016	Edward Zwick	Tom Cruise,Cobie Smulders,Aldis Hodge	Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.
2016-10-23	tt3522806	Mechanic: Resurrection	2016	Dennis Gansel	Jason Statham,Jessica Alba,Tommy Lee Jones	Bishop's most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.
2016-11-14	tt1211837	Doctor Strange	2016	Scott Derrickson	Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams	While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.
2016-11-21	tt2952602	Kung Fu Killer	2014	Teddy Chan	Donnie Yen,Baoqiang Wang,Charlie Yeung	A martial arts instructor from the police force gets imprisoned after killing a man by accident. But when a vicious killer starts targeting martial arts masters, the instructor offers to help the police in return for his freedom.
2016-11-28	tt3183660	Fantastic Beasts and Where to Find Them	2016	David Yates	Eddie Redmayne,Sam Redford,Scott Goldman	In 1926, magizoologist Newt Scamander arrives in New York during his worldwide tour to research and rescue magical creatures as something mysterious leaves trails of destruction in the city, threatening to expose the wizarding world.
2016-12-03	tt0401729	John Carter	2012	Andrew Stanton	Taylor Kitsch,Lynn Collins,Samantha Morton	A war-weary former army captain is inexplicably transported to Mars and reluctantly becomes embroiled in a conflict of epic proportions.
2016-12-05	tt0978764	Sucker Punch	2011	Zack Snyder	Emily Browning,Abbie Cornish,Jena Malone	A young girl institutionalized by her abusive stepfather retreats to an alternative reality as a coping strategy and envisions a plan to help her escape.
2016-12-27	tt2034800	The Great Wall	2016	Yimou Zhang	Matt Damon,Tian Jing,Willem Dafoe	In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.
2016-12-28	tt1320253	The Expendables	2010	Sylvester Stallone	Sylvester Stallone,Jason Statham,Jet Li	A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.
2016-12-29	tt3845232	The Abominable Bride	2016	Douglas Mackinnon	Benedict Cumberbatch,Martin Freeman,Una Stubbs	Sherlock Holmes and Dr. Watson find themselves in 1890s London in this Christmas special.
2016-12-31	tt1386703	Total Recall	2012	Len Wiseman	Colin Farrell,Kate Beckinsale,Jessica Biel	A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run.
2017-01-01	tt1496025	Underworld: Awakening	2012	Måns Mårlind,Björn Stein	Kate Beckinsale,Stephen Rea,Michael Ealy	When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind.
2017-01-04	tt1343727	Dredd	2012	Pete Travis	Karl Urban,Rachel Wood,Andile Mngadi	In a violent, futuristic metropolis, a law enforcement and his rookie trainee become caught up in a high-stakes drug war.
2017-01-07	tt1645170	The Dictator	2012	Larry Charles	Sacha Baron Cohen,Sayed Badreya,Rocky Citron	The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.
2017-01-10	tt2267998	Gone Girl	2014	David Fincher	Ben Affleck,Rosamund Pike,Neil Patrick Harris	The husband of a missing woman becomes the main suspect in her disappearance.
2017-01-12	tt1409024	Men in Black 3	2012	Barry Sonnenfeld	Will Smith,Tommy Lee Jones,Josh Brolin	Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.
2017-01-12	tt1622979	Final Destination 5	2011	Steven Quale	Nicholas D'Agosto,Emma Bell,Miles Fisher	Death returns to claim the lucky survivors of a deadly bridge collapse in this fifth frightening installment in the series.
2017-01-17	tt1649419	The Impossible	2012	J.A. Bayona	Naomi Watts,Ewan McGregor,Tom Holland	The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.
2017-01-17	tt1690953	Despicable Me 2	2013	Pierre Coffin,Chris Renaud	Steve Carell,Kristen Wiig,Benjamin Bratt	When a new criminal comes to town, the Anti-Villain League decides to hire Gru in order to fight him off. While Gru initially refuses, he eventually agrees after his aide goes back to his evil ways.
2017-01-22	tt0948470	The Amazing Spider-Man	2012	Marc Webb	Andrew Garfield,Emma Stone,Rhys Ifans	After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.
2017-01-27	tt0481499	The Croods	2013	Kirk DeMicco,Chris Sanders	Nicolas Cage,Emma Stone,Ryan Reynolds	In the primeval era, Grug and his family risk the dangers of their surroundings to find a new dwelling place. Along the way, they meet a modern boy who woos them with his adventurous ways.
2017-01-28	tt1318514	Rise of the Planet of the Apes	2011	Rupert Wyatt	Andy Serkis,Karin Konoval,Terry Notary	A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.
2017-01-29	tt0975645	Hitchcock	2012	Sacha Gervasi	Anthony Hopkins,Helen Mirren,Scarlett Johansson	The relationship between Alfred Hitchcock and his wife Alma Reville during the filming of Psycho (1960) in 1959 is explored.
2017-02-01	tt1277953	Madagascar 3: Europe's Most Wanted	2012	Eric Darnell,Tom McGrath,Conrad Vernon	Ben Stiller,Chris Rock,David Schwimmer	The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal-control officer.
2017-02-02	tt1554523	Under the Hawthorne Tree	2010	Yimou Zhang	Xuejian Li,Taishen Cheng,Dongyu Zhou	Romance sparks between a young woman and a young man from different economic backgrounds during China's Cultural Revolution of the 1960s and '70s.
2017-02-14	tt1490017	The Lego Movie	2014	Phil Lord,Christopher Miller	Will Arnett,Elizabeth Banks,Craig Berry	An ordinary LEGO construction worker, thought to be the prophesied as "special", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.
2017-02-15	tt1623205	Oz the Great and Powerful	2013	Sam Raimi	James Franco,Mila Kunis,Rachel Weisz	A small-time magician is swept away to an enchanted land and is forced into a power struggle among three witches.
2017-02-18	tt1588173	Warm Bodies	2013	Jonathan Levine	Nicholas Hoult,Teresa Palmer,Lio Tipton	After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.
2017-02-27	tt0903624	The Hobbit: An Unexpected Journey	2012	Peter Jackson	Ian McKellen,Martin Freeman,Richard Armitage	A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home and the gold within it from the dragon Smaug.
2017-02-27	tt1170358	The Hobbit: The Desolation of Smaug	2013	Peter Jackson	Ian McKellen,Martin Freeman,Richard Armitage	The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim the Lonely Mountain, their homeland, from the dragon Smaug.
2017-03-04	tt1855325	Resident Evil: Retribution	2012	Paul W.S. Anderson	Milla Jovovich,Sienna Guillory,Michelle Rodriguez	Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.
2017-03-05	tt1483013	Oblivion	2013	Joseph Kosinski	Tom Cruise,Morgan Freeman,Olga Kurylenko	A stranger's arrival triggers one man's battle to save mankind.
2017-03-11	tt1631867	Edge of Tomorrow	2014	Doug Liman	Tom Cruise,Emily Blunt,Brendan Gleeson	A man fighting in a war against aliens must relive the same day every time he dies until he can find a way to stop their power source with the help of an elite soldier.
2017-03-13	tt1045658	Silver Linings Playbook	2012	David O. Russell	Bradley Cooper,Jennifer Lawrence,Robert De Niro	After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.
2017-03-18	tt0359950	The Secret Life of Walter Mitty	2013	Ben Stiller	Ben Stiller,Kristen Wiig,Jon Daly	When both he and a colleague are about to lose their job, Walter takes action by embarking on an adventure more extraordinary than anything he ever imagined.
2017-03-18	tt1650062	Super 8	2011	J.J. Abrams	Joel Courtney,Jessica Tuck,Joel McKinnon Miller	During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.
2017-03-19	tt1253863	300: Rise of an Empire	2014	Noam Murro	Sullivan Stapleton,Eva Green,Lena Headey	Greek general Themistocles of Athens leads the naval charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.
2017-03-19	tt1430132	The Wolverine	2013	James Mangold	Hugh Jackman,Tao Okamoto,Rila Fukushima	Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.
2017-03-20	tt2770480	Remember Sunday	2013	Jeff Bleckner	Alexis Bledel,Zachary Levi,Merritt Wever	A lonely waitress meets a handsome, quirky jewelry store clerk who had a brain aneurysm and thus has short-term memory loss.
2017-03-20	tt1307068	Seeking a Friend for the End of the World	2012	Lorene Scafaria	Steve Carell,Keira Knightley,Adam Brody	As an asteroid nears Earth, a man finds himself alone after his wife leaves in a panic. He decides to take a road trip to reunite with his high school sweetheart. Accompanying him is a neighbor who inadvertently puts a wrench in his plan.
2017-03-25	tt1345836	The Dark Knight Rises	2012	Christopher Nolan	Christian Bale,Gary Oldman,Tom Hardy	Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.
2017-03-26	tt0377981	Gnomeo & Juliet	2011	Kelly Asbury	James McAvoy,Emily Blunt,Ashley Jensen	Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?
2017-03-27	tt0101414	Beauty and the Beast	1991	Gary Trousdale,Kirk Wise	Robby Benson,Jesse Corti,Rex Everhart	A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
2017-04-02	tt2334879	White House Down	2013	Roland Emmerich	Channing Tatum,Jamie Foxx,Maggie Gyllenhaal	While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of dangerous terrorists.
2017-04-08	tt1428538	Hansel & Gretel: Witch Hunters	2013	Tommy Wirkola	Jeremy Renner,Gemma Arterton,Famke Janssen	Brother/sister duo Hansel and Gretel are professional witch-hunters who help innocent villagers. One day they stumble upon a case that could hold the key to their past.
2017-04-09	tt1583421	G.I. Joe: Retaliation	2013	Jon M. Chu	Dwayne Johnson,Jonathan Pryce,Lee Byung-hun	The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.
2017-04-15	tt2357291	Rio 2	2014	Carlos Saldanha	Jake T. Austin,Carlinhos Brown,Kristin Chenoweth	It's a jungle out there for Blu, Jewel, and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel and meets his father-in-law.
2017-04-22	tt1024648	Argo	2012	Ben Affleck	Ben Affleck,Bryan Cranston,Alan Arkin	Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.
2017-04-23	tt1637725	Ted	2012	Seth MacFarlane	Mark Wahlberg,Mila Kunis,Seth MacFarlane	John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori.
2017-04-28	tt1655420	My Week with Marilyn	2011	Simon Curtis	Michelle Williams,Eddie Redmayne,Julia Ormond	Colin Clark, an employee of Sir Laurence Olivier, documents the tense interactions between Olivier and Marilyn Monroe during the production of The Prince and the Showgirl (1957).
2017-04-29	tt2017020	The Smurfs 2	2013	Raja Gosnell	Hank Azaria,Neil Patrick Harris,Brendan Gleeson	The Smurfs team up with their human friends to rescue Smurfette, who has been abducted by Gargamel, since she knows a secret spell that can turn the evil sorcerer's newest creation, creatures called "The Naughties", into real Smurfs.
2017-04-30	tt4630562	The Fate of the Furious	2017	F. Gary Gray	Vin Diesel,Jason Statham,Dwayne Johnson	When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.
2017-05-02	tt0080684	Star Wars: Episode V - The Empire Strikes Back	1980	Irvin Kershner	Mark Hamill,Harrison Ford,Carrie Fisher	After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.
2017-05-06	tt1985966	Cloudy with a Chance of Meatballs 2	2013	Cody Cameron,Kris Pearn	Bill Hader,Anna Faris,James Caan	Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids.
2017-05-20	tt1324999	The Twilight Saga: Breaking Dawn - Part 1	2011	Bill Condon	Taylor Lautner,Gil Birmingham,Billy Burke	The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.
2017-05-27	tt1412386	The Best Exotic Marigold Hotel	2011	John Madden	Judi Dench,Tom Wilkinson,Patrick Pearson	British retirees travel to India to take up residence in what they believe is a newly restored hotel. Less luxurious than advertised, the Marigold Hotel nevertheless slowly begins to charm in unexpected ways.
2017-06-10	tt0325980	Pirates of the Caribbean: The Curse of the Black Pearl	2003	Gore Verbinski	Johnny Depp,Geoffrey Rush,Orlando Bloom	Blacksmith Will Turner teams up with eccentric pirate "Captain" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.
2017-06-11	tt1504320	The King's Speech	2010	Tom Hooper	Colin Firth,Helena Bonham Carter,Derek Jacobi	The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.
2017-06-12	tt1692486	Carnage	2011	Roman Polanski	Jodie Foster,Kate Winslet,Christoph Waltz	Two pairs of parents hold a cordial meeting after their sons are involved in a fight, though as their time together progresses, increasingly childish behavior throws the discussion into chaos.
2017-06-16	tt3079380	Spy	2015	Paul Feig	Jude Law,Raad Rawi,Melissa McCarthy	A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer and prevent diabolical global disaster.
2017-06-19	tt1408101	Star Trek Into Darkness	2013	J.J. Abrams	Leonard Nimoy,Chris Pine,Zachary Quinto	After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.
2017-06-24	tt1205537	Jack Ryan: Shadow Recruit	2014	Kenneth Branagh	Chris Pine,Keira Knightley,Kevin Costner	Jack Ryan, as a young covert C.I.A. analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.
2017-06-25	tt0433362	Daybreakers	2009	Michael Spierig,Peter Spierig	Harriet Minto-Day,Jay Laga'aia,Damien Garvey	In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vamps on a way to save humankind.
2017-07-08	tt2246673	Lovestruck: The Musical	2013	Sanaa Hamri	Jane Seymour,Sara Paxton,Chelsea Kane	A jaded woman who never fulfilled her dreams of a Broadway career pushes her daughter to have one. Daughter rebels and goes to Italy to get married. The mother drinks a potion that makes her young again and tries to sabotage the wedding.
2017-07-09	tt1564585	Skyline	2010	Colin Strause,Greg Strause	Eric Balfour,Scottie Thompson,Brittany Daniel	Strange lights descend on the city of Los Angeles, drawing people outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth.
2017-07-14	tt1262416	Scream 4	2011	Wes Craven	Lucy Hale,Roger Jackson,Shenae Grimes-Beech	Ten years after the original Woodsboro murders, one of the survivors returns home to promote their new book about surviving trauma, only for a new Ghostface killer to emerge, targeting a new group of teens.
2017-07-16	tt3469046	Despicable Me 3	2017	Kyle Balda,Pierre Coffin,Eric Guillon	Steve Carell,Kristen Wiig,Trey Parker	Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.
2017-07-23	tt0317219	Cars	2006	John Lasseter,Joe Ranft	Owen Wilson,Paul Newman,Bonnie Hunt	On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.
2017-07-29	tt0382932	Ratatouille	2007	Brad Bird,Jan Pinkava	Patton Oswalt,Ian Holm,Lou Romano	A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
2017-07-30	tt0418279	Transformers	2007	Michael Bay	Shia LaBeouf,Megan Fox,Josh Duhamel	An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.
2017-08-03	tt0910970	WALL·E	2008	Andrew Stanton	Ben Burtt,Elissa Knight,Jeff Garlin	A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.
2017-08-06	tt1682180	Stoker	2013	Park Chan-wook	Mia Wasikowska,Nicole Kidman,David Alford	After India's father dies, her Uncle Charlie, who she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated with him.
2017-08-12	tt1667889	Ice Age: Continental Drift	2012	Steve Martino,Michael Thurmeier	Aziz Ansari,Joy Behar,Christopher Campbell	Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.
